lat;lon;cidade;estado;endereco
-22.74118;-47.351814;SANTA BARBARA D¥OESTE;SP;AV. DA AMIZADE
-22.764671;-47.258838;NOVA ODESSA;SP;AV. ANTONIO RODRIGUES AZENHA
-22.768036;-47.309352;NOVA ODESSA;SP;RODOVIA ASTRONOMO JEAN NICOLINI
-22.724936;-47.362106;SANTA BARBARA D¥OESTE;SP;AV. DA AMIZADE
-22.769387;-47.31501;NOVA ODESSA;SP;AV. AMPELIO GAZZETTA
-22.770814;-47.318142;NOVA ODESSA;SP;AV. INDUSTRIAL OSCAR BERGGREN
-22.774414;-47.292688;NOVA ODESSA;SP;RODOVIA ASTRONOMO JEAN NICOLINI
-22.782261;-47.290071;NOVA ODESSA;SP;R. ILDA BAGNE DA SILVA - PONTILHAO SAO JORGE
-22.786945;-47.286942;NOVA ODESSA;SP;R. AZIL MARTINS
-22.788777;-47.285793;NOVA ODESSA;SP;R. GOIANIA
-22.79188;-47.295684;NOVA ODESSA;SP;AV. AMPELIO GAZZETTA
-22.792218;-47.28454;SUMAR…;SP;AV. FUAD ASSEF MALUF
-22.806106;-47.260601;SUMAR…;SP;AV. FUAD ASSEF MALUF
-22.802936;-47.287028;NOVA ODESSA;SP;AV. AMPELIO GAZZETTA
-22.809612;-47.281028;SUMAR…;SP;ROD. VIRGINIA VIEL CAMPOS DALL'ORTO
-22.816128;-47.27008;SUMAR…;SP;AV. JOAO ARGENTON
-22.816341;-47.243861;SUMAR…;SP;AV. DA AMIZADE
-22.817797;-47.247107;SUMAR…;SP;AV. DA AMIZADE - NOVA VENEZA
-22.845233;-47.207772;HORTOL¬NDIA;SP;ESTRADA VALENCIO CALEGARI
-22.923617;-47.130284;NOVA ODESSA;SP;RODOVIA ASTRONOMO JEAN NICOLINI
-25.532551813;-54.5739208468;FOZ DO IGUA«U;PR;AV. COSTA E SILVA AO LADO CATARATAS JL SHOP
-25.5338632705;-54.586871674;FOZ DO IGUA«U;PR;AV. JK X AV. REPUBLICA ARGENTINA
-25.554398;-54.567521;FOZ DO IGUA«U;PR;AV. DAS CATARATAS
-25.514018;-54.574636;FOZ DO IGUA«U;PR;AV. PARANA
-25.519558;-54.58582;FOZ DO IGUA«U;PR;AV. JK EM FRENTE A EXPORTEC
-23.4845805827277;-46.6996641738587;S√O PAULO;SP;R. ELISIO TEIXEIRA LEITE,
-23.4846949439513;-46.7013998738589;S√O PAULO;SP;R. RIO VERDE,
-23.4714584981271;-46.6878328198912;S√O PAULO;SP;R. TIRO AO POMBO,
-23.4915773678084;-46.6394280989903;S√O PAULO;SP;R. COPACABANA,
-23.4734491798874;-46.685774687351;S√O PAULO;SP;R. RUI DE MORAES APOCALIPSE,
-23.4854653635382;-46.6982306450226;S√O PAULO;SP;R. JUAN ARFE,
-23.5186955967542;-46.6036607161857;S√O PAULO;SP;R. EUGENIO DE FREITAS,
-23.4941821;-46.6270716;S√O PAULO;SP;R. FRANCISCA JULIA
-23.4978285149713;-46.7044698757106;S√O PAULO;SP;R. PROFESSOR JOAO MACHADO,
-23.4835497413709;-46.5913458315307;S√O PAULO;SP;AV. JULIO BUONO,
-23.5287690322105;-46.6857915738577;S√O PAULO;SP;R. BARAO DO BANANAL,
-23.5325965268825;-46.6654175026936;S√O PAULO;SP;R. SAO GERALDO,
-23.4720470436484;-46.6080459450231;S√O PAULO;SP;R. FRANCISCO DA LIRA,
-23.5231062101752;-46.6974159450218;S√O PAULO;SP;R. ROMA,
-23.5266421407869;-46.6917068738577;S√O PAULO;SP;R. FABIA,
-23.4890410458952;-46.6986877450227;S√O PAULO;SP;PRACA AMARO NUNES,
-23.5253897138287;-46.7101530892018;S√O PAULO;SP;R. BARAO DE JUNDIAI,
-23.5325912364949;-46.6905316161855;S√O PAULO;SP;R. DR. AUGUSTO DE MIRANDA,
-23.5410631051037;-46.6991538873493;S√O PAULO;SP;R. CERRO CORA,
-23.5233226297377;-46.6974159450218;S√O PAULO;SP;R. ROMA,
-23.5674094058822;-46.6564409315287;S√O PAULO;SP;ALAMEDA FRANCA,
-23.5467658459497;-46.6548862603652;S√O PAULO;SP;R. SABARA,
-23.5315872255248;-46.6584754315297;S√O PAULO;SP;R. CONSELHEIRO BROTERO,
-23.5680670813003;-46.6526086161848;S√O PAULO;SP;AL. JOAQUIM EUGENIO DE LIMA,
-23.5468778525144;-46.6545886873492;S√O PAULO;SP;R. SABARA,
-23.5585393963991;-46.6789405143326;S√O PAULO;SP;R. JOAO MOURA,
-3.735647;-38.563572;FORTALEZA;CE;AV. BEZERRA DE MENEZES,  - PARQUELANDIA - ESTACIONAMENTO DO BUFFET CATA-VENTO
-3.741119;-38.516048;FORTALEZA;CE;R. ILDEFONSO ALBANO,  - ALDEOTA - ESTACIONAMENTO DO SUPERMERCADO COMETA
-3.73578;-38.486641;FORTALEZA;CE;AV. JULIO ABREU,  - MEIRELES - ESTACIONAMENTO DO COLEGIO FARIAS BRITO
-3.733856;-38.523029;FORTALEZA;CE;AV. DOM MANUEL,  - CENTRO - ESTACIONAMENTO FALCON, ESQUINA COM AV. DUQUE DE CAXIAS
-3.724616;-38.503491;FORTALEZA;CE;AV. BARAO DE STUDART,  - MEIRELES - CALCADA  DA LOJA  CONCEITO TERRA BRASILIS
-13.000328;-38.483159;SALVADOR;BA;AV. JURACY MAGALHAES JR.
-13.0022030463;-38.5030557116;SALVADOR;BA;AV. GARIBALDI
-12.8396448;-38.3263885;SALVADOR;BA;AV. DO CONTORNO
-12.8512612;-38.4560243;SALVADOR;BA;R, CONCEICAO DO ALMEIDA
-12.8630679;-38.292042;LAURO DE FREITAS;BA;VOLTA ESTRADA DO COCO
-12.863346;-38.292147;LAURO DE FREITAS;BA;ESTR, DO COCO
-12.8820575;-38.3148204;LAURO DE FREITAS;BA;BA-526 3013
-12.8923785;-38.3263217;LAURO DE FREITAS;BA;VOLTA EST, DO COCO
-12.90545;-38.34455;SALVADOR;BA;BA
-12.906478;-38.353036;SALVADOR;BA;BA-526 1343
-12.9078975;-38.34641667;SALVADOR;BA;AC, P/ AV. LUIZ VIANA FILHO
-12.9207417;-38.4809215;SALVADOR;BA;AV. AFRANIO PEIXOTO
-12.922082;-38.358823;SALVADOR;BA;AV. LUIS VIANA FILHO
-12.9245149;-38.371959;SALVADOR;BA;AV. LUIS VIANA
-12.9224214;-38.3604913;SALVADOR;BA;AV. LUIS VIANA
-12.927834;-38.347393;SALVADOR;BA;AL DILSON JATAHY FONSECA
-12.933583;-38.39405;SALVADOR;BA;AV. LUIS VIANA FILHO
-12.9352903;-38.5057274;SALVADOR;BA;R, HENRIQUE DIAS
-12.9354084;-38.3946773;SALVADOR;BA;AV. PARALELA
-12.9373782;-38.4057787;SALVADOR;BA;AV. LUIS VIANA
-12.9481903;-38.4493477;SALVADOR;BA;R, PARAIBA
